ts,timestamp,latitudeLog,longitudeLog,temp_data,hPa_data,hum_data,lux_data,ox_data,red_data,nh3_data,pm1_data,pm25_data,pm10_data
1637317313,19/11/2021 10:21,52.07879333,5.124768333,19.86018746,1029.663681,60.61016768,1834.11625,4.097560976,504,117.5211268,6,7,9
1637317316,19/11/2021 10:21,52.07879333,5.124768333,19.89335412,1029.686986,60.74012742,1836.0159,4.097560976,504,117.0337079,5,7,8
1637317319,19/11/2021 10:21,52.07879333,5.124768333,19.91321983,1029.687231,60.46648161,1845.0711,4.097560976,504,117.0337079,5,8,9
1637317321,19/11/2021 10:22,52.07879333,5.124768333,19.93479811,1029.690012,60.51785772,1862.25925,4.15625,504,116.5490196,5,9,10
1637317324,19/11/2021 10:22,52.07879333,5.124768333,19.94196799,1029.686273,60.3727745,1864.5278,4.15625,504,116.5490196,6,9,10
1637317326,19/11/2021 10:22,52.07879333,5.124768333,19.95258588,1029.693416,60.30599531,1851.26825,4.15625,498.954955,116.5490196,6,8,9
1637317329,19/11/2021 10:22,52.07881833,5.124745,19.97205206,1029.689558,60.25605331,1847.7827,4.15625,498.954955,116.0670391,6,9,10
1637317332,19/11/2021 10:22,52.07882,5.124741667,19.98335497,1029.689133,60.35758056,1825.6524,4.15625,498.954955,115.5877437,5,9,10
1637317334,19/11/2021 10:22,52.07882,5.124741667,20.00864386,1029.69218,60.56550823,1811.9498,4.15625,498.954955,115.1111111,5,9,10
1637317337,19/11/2021 10:22,52.07881833,5.124741667,20.02647739,1029.700337,60.47074002,1783.27245,4.15625,504,115.1111111,5,9,10
1637317339,19/11/2021 10:22,52.07881833,5.124741667,20.04499595,1029.714659,60.13500073,1766.4532,4.15625,504,116.0670391,5,9,10
1637317342,19/11/2021 10:22,52.07882,5.124736667,20.05464335,1029.699835,59.96201355,1743.03175,4.215053763,504,116.5490196,5,9,10
1637317345,19/11/2021 10:22,52.07882,5.124736667,20.07074145,1029.687623,59.86180478,1713.9855,4.215053763,504,117.0337079,6,8,10
1637317347,19/11/2021 10:22,52.07881833,5.124736667,20.05918723,1029.687194,59.83986384,1694.84255,4.215053763,504,117.5211268,5,8,8
1637317350,19/11/2021 10:22,52.07881833,5.124736667,20.07494282,1029.684774,59.85735244,1679.3696,4.215053763,498.954955,118.0112994,5,8,9
1637317353,19/11/2021 10:22,52.07881833,5.12474,20.08316313,1029.683212,59.81846067,1665.24295,4.215053763,504,117.5211268,5,9,9
1637317355,19/11/2021 10:22,52.07881833,5.12474,20.07945253,1029.681222,59.85228644,1656.55665,4.215053763,504,117.5211268,6,9,9
1637317358,19/11/2021 10:22,52.07881833,5.12474,20.07128927,1029.679505,59.95879947,1652.7022,4.215053763,498.954955,116.0670391,6,9,9
1637317360,19/11/2021 10:22,52.07881833,5.12474,20.08698782,1029.670061,59.90306217,1668.8388,4.273972603,498.954955,116.0670391,6,9,9
1637317363,19/11/2021 10:22,52.07881833,5.12474,20.06036303,1029.679934,60.20000607,1681.25025,4.273972603,498.954955,116.0670391,6,8,8
1637317366,19/11/2021 10:22,52.07881833,5.12474,20.05931263,1029.677748,59.9031353,1695.9854,4.273972603,498.954955,116.0670391,6,8,8
1637317368,19/11/2021 10:22,52.07881833,5.12474,20.04735886,1029.676655,59.83597852,1717.56235,4.273972603,504,116.5490196,6,8,8
1637317371,19/11/2021 10:22,52.07881833,5.12474,20.05866179,1029.657336,59.69629825,1727.2812,4.273972603,498.954955,116.5490196,6,8,8
1637317373,19/11/2021 10:22,52.07881667,5.124741667,20.07786538,1029.655499,59.65197984,1730.39785,4.273972603,498.954955,117.0337079,6,8,8
1637317376,19/11/2021 10:22,52.07881667,5.124741667,20.11371516,1029.67239,59.56308959,1728.68265,4.273972603,498.954955,118.0112994,6,8,8
1637317379,19/11/2021 10:22,52.07881833,5.124741667,20.14833186,1029.672769,59.36800051,1723.8508,4.333006856,498.954955,118.5042493,5,7,7
1637317381,19/11/2021 10:23,52.07881833,5.124741667,20.15866431,1029.693289,59.42484901,1728.55335,4.333006856,498.954955,118.0112994,5,7,7
1637317384,19/11/2021 10:23,52.07881833,5.124741667,20.17818757,1029.693006,59.58829539,1723.90595,4.333006856,498.954955,117.0337079,5,6,7
1637317386,19/11/2021 10:23,52.07881833,5.124741667,20.19736832,1029.685345,59.53862749,1722.19075,4.333006856,498.954955,117.0337079,3,6,8
